	BDPA
94357,9	0,00191422491774714
94357,5	4,99914936453647E-4
94357,1	9,07861689746813E-5
94356,7	5,50367678892596E-4
94356,3	5,10330530717627E-4
94355,9	0,00125263076873886
94355,5	4,64786893838282E-4
94355,1	4,14131125012833E-4
94354,7	-1,46560253221412E-4
94354,3	6,31254420051526E-4
94353,9	0,00116171448668931
94353,5	7,56658525895339E-5
94353,1	6,97032880103013E-4
94352,7	8,63499388527307E-4
94352,3	0,00105570619103916
94351,9	2,07005336187404E-4
94351,5	7,17252953893575E-4
94351,1	0,00178819821764098
94350,7	0,00144953093662014
94350,3	6,46578780612124E-4
94349,9	5,45879714750552E-4
94349,5	1,03054805887503E-5
94349,1	8,48193636388106E-4
94348,7	-4,84606759068037E-4
94348,3	9,1905358468658E-4
94347,9	4,19028534557706E-4
94347,5	-5,30163109751064E-4
94347,1	0,00131839447940875
94346,7	6,61689436560446E-4
94346,3	3,28547965117631E-4
94345,9	-2,77899736819293E-4
94345,5	0,00137354228353206
94345,1	8,18157420982525E-4
94344,7	8,79027114737384E-4
94344,3	0,00135353353951289
94343,9	7,92824875982877E-4
94343,5	0,00107592965745955
94343,1	3,63679739625811E-4
94342,7	1,96998508800292E-4
94342,3	-0,00100547503300258
94341,9	-2,37456196608335E-4
94341,5	-7,05815998331483E-5
94341,1	-2,47882129835108E-4
94340,7	-1,87420863694128E-4
94340,3	0,00149998367905909
94339,9	1,00590987764263E-4
94339,5	9,39488380878365E-4
94339,1	-8,081544022297E-4
94338,7	5,95718289085264E-4
94338,3	4,08815288154267E-4
94337,9	-1,97216361309843E-4
94337,5	-9,61075107824631E-5
94337,1	-4,54793535522291E-4
94336,7	-2,62788741607991E-4
94336,3	1,86579861169465E-4
94335,9	5,15237600699334E-4
94335,5	4,09223376505157E-4
94335,1	0,00150509445395326
94334,7	1,21220846220621E-4
94334,3	8,43276939895858E-4
94333,9	6,36366551997633E-4
94333,5	5,05025711347824E-4
94333,1	4,59674083366207E-4
94332,7	3,54360169908578E-5
94332,3	-4,54385447171404E-4
94331,9	-1,92114229063562E-4
94331,5	4,64786893838282E-4
94331,1	-5,09699266761103E-5
94330,7	4,79489461435707E-4
94330,3	4,59471735505676E-4
94329,9	5,00066121895803E-6
94329,5	-3,93924181030422E-4
94329,1	-1,46773279307726E-4
94328,7	1,56554968589334E-4
94328,3	0,00124260156711122
94327,9	2,7747583848269E-4
94327,5	-5,30364779085626E-4
94327,1	-5,61004179032973E-4
94326,7	-6,21465445173965E-4
94326,3	5,80803034664506E-4
94325,9	1,2633026406286E-4
94325,5	5,90811219103557E-4
94325,1	4,29443450295717E-4
94324,7	2,82790284363023E-4
94324,3	-6,26160846121298E-4
94323,9	-6,26160846121298E-4
94323,5	1,0100077243006E-4
94323,1	1,26536004553229E-4
94322,7	-2,93427802292349E-4
94322,3	-0,00115172112837332
94321,9	0,00102016175668799
94321,5	-2,033154451771E-5
94321,1	-9,10060570621387E-5
94320,7	9,14357844476258E-4
94320,3	-0,00128326465614664
94319,9	3,78790395574134E-4
94319,5	5,55274782800607E-4
94319,1	0,0012977663172673
94318,7	2,67466941591375E-4
94318,3	8,05732618342226E-5
94317,9	-1,26135795992421E-4
94317,5	-5,25671752979182E-4
94317,1	2,03160398686794E-5
94316,7	5,55274782800607E-4
94316,3	1,86783566081936E-4
94315,9	-5,10141991191207E-4
94315,5	3,84102161276903E-4
94315,1	1,3654317120333E-4
94314,7	6,16143424840224E-4
94314,3	2,97901279574324E-4
94313,9	-3,13037100608512E-4
94313,5	-2,221428535365E-4
94313,1	6,16143424840224E-4
94312,7	1,007950319397E-4
94312,3	7,4727022161477E-4
94311,9	1,56349228098973E-4
94311,5	7,56658525895339E-5
94311,1	-4,75015305627773E-4
